"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1997",4.687,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1996",5.036,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1995",6.307,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1994",5.349,,,,"Repository: OECD"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1993",5.965,,,,"Repository: OECD"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1992",5.91,,,,"Repository: OECD"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1991",5.407,,,,"Repository: OECD"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1990",5.261,,,,"Repository: OECD"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1989",4.92,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1988",3.16,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1987",2.12,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1986",1.97,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1985",2.56,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1984",3.15,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1983",3.43,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Norway","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1982",2.61,,,,"Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old"
"Poland","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2024",2.9,,,,"Age coverage - maximum age: 74 years old"
"Poland","LFS - EU Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2023",2.819,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2022",2.811,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2021",3.268,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2020",3.155,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2019",3.267,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2018",3.835,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2017",4.867,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2016",6.141,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2015",7.475,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2014",8.971,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2013",10.293,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2012",10.031,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2011",9.576,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2010",9.578,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2009",8.131,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2008",7.069,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2007",9.551,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2006",13.794,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Poland","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2005",17.592,,,,"Repository: ILO-STATISTICS - Micro data processing"
